,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 30}",215.00,62.21,66.26,62.94,49.96,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 0.01, 'n_feat0': 30}",215.00,62.21,66.26,62.94,49.96,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.01, 'reg': 1, 'n_feat0': 30}",215.00,62.21,66.26,62.94,49.96,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 30}",212.00,62.74,67.14,63.27,50.19,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 0.01, 'n_feat0': 30}",212.00,62.74,67.14,63.27,50.19,0.12
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.1, 'reg': 1, 'n_feat0': 30}",212.00,62.74,67.14,63.27,50.19,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 30}",213.00,62.57,67.14,63.28,49.96,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 0.01, 'n_feat0': 30}",213.00,62.57,67.14,63.28,49.96,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.3, 'reg': 1, 'n_feat0': 30}",213.00,62.57,67.14,63.28,49.96,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 30}",212.00,62.74,67.14,63.28,50.10,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 0.01, 'n_feat0': 30}",212.00,62.74,67.14,63.28,50.10,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.5, 'reg': 1, 'n_feat0': 30}",212.00,62.74,67.14,63.28,50.10,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 30}",212.00,62.74,67.11,63.26,50.10,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 0.01, 'n_feat0': 30}",212.00,62.74,67.11,63.26,50.10,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.7, 'reg': 1, 'n_feat0': 30}",212.00,62.74,67.11,63.26,50.10,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 30}",211.00,62.92,59.26,54.53,50.24,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 0.01, 'n_feat0': 30}",211.00,62.92,59.26,54.53,50.24,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 0.9, 'reg': 1, 'n_feat0': 30}",211.00,62.92,59.26,54.53,50.24,0.11
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 0.0001, 'n_feat0': 30}",223.00,60.81,68.42,60.93,53.25,0.08
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 0.01, 'n_feat0': 30}",223.00,60.81,68.42,60.93,53.25,0.08
"{'C': 0.0001, 'C_bar': 0.0001, 'B': 1, 'reg': 1, 'n_feat0': 30}",223.00,60.81,68.42,60.93,53.25,0.08
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 30}",215.00,62.21,66.26,62.94,49.96,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 0.01, 'n_feat0': 30}",215.00,62.21,66.26,62.94,49.96,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.01, 'reg': 1, 'n_feat0': 30}",215.00,62.21,66.26,62.94,49.96,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 30}",212.00,62.74,67.14,63.27,50.19,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 0.01, 'n_feat0': 30}",212.00,62.74,67.14,63.27,50.19,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.1, 'reg': 1, 'n_feat0': 30}",212.00,62.74,67.14,63.27,50.19,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 30}",213.00,62.57,67.14,63.28,49.96,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 0.01, 'n_feat0': 30}",213.00,62.57,67.14,63.28,49.96,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.3, 'reg': 1, 'n_feat0': 30}",213.00,62.57,67.14,63.28,49.96,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.0001, 'n_feat0': 30}",212.00,62.74,67.14,63.28,50.10,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 0.01, 'n_feat0': 30}",212.00,62.74,67.14,63.28,50.10,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.5, 'reg': 1, 'n_feat0': 30}",212.00,62.74,67.14,63.28,50.10,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.0001, 'n_feat0': 30}",212.00,62.74,67.11,63.26,50.10,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 0.01, 'n_feat0': 30}",212.00,62.74,67.11,63.26,50.10,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.7, 'reg': 1, 'n_feat0': 30}",212.00,62.74,67.11,63.26,50.10,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.0001, 'n_feat0': 30}",211.00,62.92,59.26,54.53,50.24,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 0.01, 'n_feat0': 30}",211.00,62.92,59.26,54.53,50.24,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 0.9, 'reg': 1, 'n_feat0': 30}",211.00,62.92,59.26,54.53,50.24,0.11
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.0001, 'n_feat0': 30}",223.00,60.81,68.42,60.93,53.25,0.09
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 0.01, 'n_feat0': 30}",223.00,60.81,68.42,60.93,53.25,0.09
"{'C': 0.0001, 'C_bar': 0.01, 'B': 1, 'reg': 1, 'n_feat0': 30}",223.00,60.81,68.42,60.93,53.25,0.08
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.0001, 'n_feat0': 30}",215.00,62.21,66.26,62.94,49.96,0.11
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 0.01, 'n_feat0': 30}",215.00,62.21,66.26,62.94,49.96,0.11
"{'C': 0.0001, 'C_bar': 1, 'B': 0.01, 'reg': 1, 'n_feat0': 30}",215.00,62.21,66.26,62.94,49.96,0.11
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.0001, 'n_feat0': 30}",212.00,62.74,67.14,63.27,50.19,0.11
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 0.01, 'n_feat0': 30}",212.00,62.74,67.14,63.27,50.19,0.11
"{'C': 0.0001, 'C_bar': 1, 'B': 0.1, 'reg': 1, 'n_feat0': 30}",212.00,62.74,67.14,63.27,50.19,0.11
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.0001, 'n_feat0': 30}",213.00,62.57,67.14,63.28,49.96,0.11
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 0.01, 'n_feat0': 30}",213.00,62.57,67.14,63.28,49.96,0.11
"{'C': 0.0001, 'C_bar': 1, 'B': 0.3, 'reg': 1, 'n_feat0': 30}",213.00,62.57,67.14,63.28,49.96,0.11
