,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",416.80(11.95),39.51(1.73),43.47(0.58),39.40(0.36),41.83(1.70),0.70(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",404.60(12.07),41.28(1.75),44.32(0.73),39.98(0.59),43.51(1.71),0.71(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",401.00(9.41),41.80(1.37),44.28(0.98),41.01(0.75),43.89(1.32),0.70(0.00)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",399.40(9.26),42.03(1.34),44.38(1.05),41.64(0.80),43.92(1.13),0.70(0.00)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",398.20(7.50),42.21(1.09),44.80(1.20),42.28(0.88),43.90(0.91),0.70(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",420.80(6.30),38.93(0.91),43.20(0.47),38.86(0.32),41.81(0.95),1.05(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",410.00(10.07),40.49(1.46),44.60(0.61),39.87(0.52),43.17(1.55),1.08(0.06)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",409.60(11.10),40.55(1.61),44.57(0.78),40.80(0.48),42.96(1.70),1.05(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",407.40(10.01),40.87(1.45),44.71(0.86),41.64(0.52),43.04(1.58),1.05(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",407.20(7.76),40.90(1.13),45.17(0.99),42.60(0.65),42.83(1.16),1.05(0.01)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",416.60(6.07),39.54(0.88),43.02(0.49),39.11(0.28),42.01(0.88),0.53(0.00)
