,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",324.80(4.92),57.65(0.64),48.94(1.19),34.25(0.61),48.56(0.85),0.58(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",318.80(5.07),58.44(0.66),49.72(0.99),34.85(0.25),48.80(0.66),0.59(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",315.20(10.33),58.90(1.35),50.24(0.81),35.04(0.50),49.16(1.16),0.58(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",316.80(9.12),58.70(1.19),50.41(0.85),35.20(0.63),48.98(1.06),0.59(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",318.80(8.98),58.44(1.17),50.56(0.76),35.26(0.71),48.93(1.07),0.59(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",305.20(3.19),60.21(0.42),48.04(0.98),33.14(0.57),48.54(0.50),0.96(0.07)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",299.60(3.21),60.94(0.42),48.16(1.03),33.35(0.77),48.77(0.25),0.94(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",300.40(4.62),60.83(0.60),48.34(1.18),33.34(0.98),48.77(0.52),0.94(0.03)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",303.40(4.77),60.44(0.62),48.60(1.38),33.50(1.17),48.46(0.48),0.94(0.04)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",310.20(8.76),59.56(1.14),48.97(1.58),33.65(1.36),47.81(0.97),0.92(0.01)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",327.00(10.12),57.37(1.32),48.38(1.19),33.74(1.07),47.70(1.02),0.42(0.00)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",320.00(10.61),58.28(1.38),48.83(1.06),34.06(1.00),48.19(1.41),0.42(0.00)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",324.60(10.78),57.68(1.41),49.13(1.22),34.06(1.00),47.49(1.57),0.42(0.00)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",323.00(8.72),57.89(1.14),49.31(1.48),34.02(1.11),47.70(1.18),0.42(0.00)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",321.80(8.87),58.04(1.16),49.53(1.82),34.03(1.31),47.89(1.16),0.42(0.00)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",307.40(9.84),59.92(1.28),48.12(1.19),33.27(0.69),48.76(1.56),0.62(0.06)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",305.20(7.98),60.21(1.04),48.73(1.41),34.03(0.96),48.45(1.20),0.59(0.01)
