,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",277.20(0.45),71.06(0.05),46.59(0.46),69.51(0.33),49.97(0.08),1.11(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",276.00(0.71),71.19(0.07),46.68(0.41),68.69(0.24),50.10(0.14),1.10(0.00)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",276.40(1.14),71.15(0.12),47.04(0.46),69.02(0.27),50.09(0.06),1.10(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",277.40(1.34),71.04(0.14),47.44(0.45),69.27(0.24),50.04(0.10),1.10(0.00)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",278.60(0.89),70.92(0.09),47.96(0.46),69.57(0.28),49.98(0.10),1.13(0.06)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",276.40(0.89),71.15(0.09),46.37(0.14),69.35(0.06),49.94(0.12),1.38(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",275.80(0.84),71.21(0.09),46.36(0.07),68.53(0.14),49.98(0.12),1.37(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",276.40(0.55),71.15(0.06),46.66(0.07),68.77(0.16),49.96(0.08),1.37(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",277.60(1.14),71.02(0.12),47.03(0.05),68.97(0.15),49.90(0.12),1.37(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",278.40(0.55),70.94(0.06),47.52(0.06),69.25(0.14),49.86(0.11),1.41(0.07)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",277.80(1.30),71.00(0.14),46.38(0.20),69.38(0.34),49.97(0.07),0.97(0.02)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",277.40(0.89),71.04(0.09),46.31(0.26),68.62(0.35),49.98(0.10),0.96(0.00)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",277.40(1.67),71.04(0.17),46.71(0.27),68.90(0.27),50.02(0.15),0.97(0.01)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",276.60(1.34),71.13(0.14),47.11(0.27),69.16(0.29),50.10(0.10),0.96(0.00)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",278.60(1.14),70.92(0.12),47.69(0.33),69.44(0.32),49.95(0.08),0.96(0.01)
