,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",219.20(7.19),37.37(2.05),37.68(1.36),56.79(1.04),36.45(2.42),0.84(0.03)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",210.20(5.17),39.94(1.48),41.57(0.93),60.32(0.82),37.66(1.98),0.82(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",205.20(6.91),41.37(1.97),43.27(1.09),61.71(0.95),38.50(2.14),0.85(0.07)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",200.20(7.60),42.80(2.17),44.02(1.22),62.06(1.14),39.72(2.15),0.83(0.02)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",195.00(4.00),44.29(1.14),44.65(1.26),62.29(1.11),40.74(1.27),0.85(0.05)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",226.40(2.97),35.31(0.85),37.54(0.31),56.89(0.67),33.63(1.05),1.20(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",213.60(5.32),38.97(1.52),41.85(1.02),60.59(1.00),35.52(1.84),1.26(0.08)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",203.80(3.70),41.77(1.06),43.53(1.45),61.91(1.20),37.60(1.41),1.20(0.02)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",198.40(2.61),43.31(0.75),44.22(1.53),62.29(1.28),39.08(1.03),1.22(0.05)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",192.80(3.42),44.91(0.98),44.84(1.56),62.51(1.38),40.64(1.04),1.19(0.01)
