,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",583.80(5.36),46.68(0.49),37.16(1.21),41.98(0.48),46.58(0.49),5.27(0.07)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",582.20(9.65),46.83(0.88),37.48(1.21),42.29(0.58),46.73(0.88),5.30(0.12)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",581.40(8.26),46.90(0.75),38.82(1.23),42.99(0.70),46.81(0.75),5.25(0.08)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",585.40(4.98),46.54(0.45),39.72(1.10),43.45(0.72),46.44(0.46),5.30(0.08)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",578.60(12.44),47.16(1.14),40.82(0.92),43.95(0.72),47.07(1.14),5.31(0.10)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",574.40(4.83),47.54(0.44),35.69(0.44),41.43(0.14),47.43(0.44),9.88(0.09)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",570.20(8.35),47.93(0.76),36.01(0.54),41.74(0.14),47.82(0.76),9.88(0.10)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",569.20(3.03),48.02(0.28),37.34(0.47),42.27(0.19),47.91(0.28),9.85(0.16)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",572.40(4.04),47.73(0.37),38.40(0.37),42.74(0.24),47.62(0.37),9.87(0.09)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",575.20(2.17),47.47(0.20),39.71(0.38),43.19(0.29),47.37(0.20),9.86(0.10)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",587.80(9.58),46.32(0.87),37.18(0.87),42.02(0.42),46.22(0.87),3.24(0.12)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",585.60(10.36),46.52(0.95),37.78(1.03),42.51(0.54),46.42(0.95),3.19(0.03)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",580.20(9.47),47.01(0.86),39.28(0.97),43.31(0.40),46.92(0.86),3.25(0.10)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",580.60(5.55),46.98(0.51),40.25(0.97),43.85(0.37),46.89(0.50),3.23(0.05)
