,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",1826.40(6.66),42.84(0.21),44.56(0.14),47.61(0.14),44.41(0.20),4.81(0.02)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",1833.20(12.70),42.62(0.40),45.09(0.16),48.02(0.12),44.08(0.41),4.83(0.06)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",1835.80(14.75),42.54(0.46),45.36(0.28),48.54(0.15),43.84(0.48),4.82(0.09)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",1825.60(12.03),42.86(0.38),45.45(0.31),48.72(0.18),44.05(0.39),4.81(0.07)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",1797.00(13.51),43.76(0.42),45.64(0.33),48.92(0.23),44.82(0.41),4.75(0.03)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",1828.00(9.30),42.79(0.29),44.45(0.07),47.59(0.06),44.40(0.30),5.56(0.07)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",1837.00(4.00),42.50(0.13),44.98(0.06),47.99(0.11),44.00(0.13),5.61(0.07)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",1824.20(6.69),42.90(0.21),45.19(0.09),48.49(0.13),44.24(0.22),5.58(0.08)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",1810.60(10.74),43.33(0.34),45.23(0.09),48.68(0.11),44.54(0.34),5.57(0.08)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",1798.60(8.99),43.71(0.28),45.36(0.13),48.89(0.11),44.79(0.28),5.54(0.08)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",1820.80(15.14),43.01(0.47),44.56(0.10),47.67(0.15),44.60(0.48),4.39(0.04)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",1825.20(18.85),42.87(0.59),44.99(0.07),47.99(0.15),44.35(0.59),4.42(0.09)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",1832.00(12.29),42.66(0.38),45.32(0.08),48.54(0.20),43.94(0.39),4.41(0.07)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",1819.40(11.78),43.05(0.37),45.45(0.08),48.74(0.16),44.23(0.37),4.38(0.02)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",1803.40(7.64),43.56(0.24),45.62(0.08),48.87(0.18),44.61(0.26),4.42(0.08)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",1825.20(13.44),42.87(0.42),44.52(0.07),47.62(0.04),44.49(0.41),4.78(0.10)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",1827.60(12.22),42.80(0.38),44.94(0.10),47.82(0.06),44.32(0.38),4.75(0.01)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",1837.20(9.93),42.50(0.31),45.07(0.21),48.24(0.16),43.84(0.31),4.76(0.07)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",1824.40(9.81),42.90(0.31),45.10(0.25),48.41(0.23),44.13(0.31),4.78(0.08)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",1805.00(7.00),43.51(0.22),45.21(0.30),48.62(0.26),44.61(0.22),4.77(0.08)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",1821.80(11.10),42.98(0.35),44.55(0.16),47.61(0.12),44.54(0.35),5.85(0.08)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",1829.80(4.09),42.73(0.13),45.01(0.22),47.97(0.13),44.17(0.15),5.76(0.02)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",1828.40(17.62),42.77(0.55),45.26(0.24),48.45(0.09),44.06(0.55),5.82(0.10)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",1825.00(13.62),42.88(0.43),45.39(0.26),48.64(0.12),44.06(0.43),5.86(0.05)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",1807.80(16.27),43.42(0.51),45.62(0.30),48.87(0.11),44.48(0.52),5.86(0.08)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",1828.60(7.16),42.77(0.22),44.46(0.06),47.56(0.04),44.37(0.23),7.57(0.10)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",1831.20(11.32),42.69(0.35),44.97(0.07),47.93(0.08),44.18(0.38),7.54(0.08)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",1839.00(7.62),42.44(0.24),45.10(0.10),48.39(0.13),43.77(0.25),7.61(0.08)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",1830.80(9.09),42.70(0.28),45.13(0.11),48.58(0.13),43.91(0.29),7.59(0.09)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",1803.20(7.85),43.56(0.25),45.26(0.12),48.83(0.13),44.64(0.25),7.57(0.09)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",1826.20(14.41),42.84(0.45),44.49(0.23),47.60(0.18),44.42(0.47),5.48(0.10)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",1838.00(23.53),42.47(0.74),44.90(0.24),47.88(0.20),43.95(0.76),5.45(0.03)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",1834.00(19.00),42.60(0.59),45.15(0.35),48.44(0.33),43.90(0.60),5.47(0.07)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",1819.60(10.99),43.05(0.34),45.28(0.37),48.66(0.31),44.24(0.35),5.45(0.06)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",1800.20(13.16),43.66(0.41),45.51(0.37),48.88(0.32),44.71(0.40),5.52(0.08)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",1828.00(5.34),42.79(0.17),44.45(0.08),47.59(0.07),44.40(0.16),6.31(0.08)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",1836.80(8.93),42.51(0.28),44.90(0.05),47.85(0.07),44.02(0.28),6.28(0.05)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",1835.20(4.92),42.56(0.15),45.12(0.11),48.37(0.21),43.90(0.15),6.29(0.06)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",1828.80(8.53),42.76(0.27),45.22(0.13),48.60(0.22),43.99(0.27),6.29(0.07)
"{'forestSize': 5, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",1802.80(2.77),43.57(0.09),45.38(0.16),48.82(0.23),44.68(0.09),6.29(0.09)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",1816.60(8.82),43.14(0.28),44.56(0.06),47.68(0.03),44.72(0.27),8.51(0.08)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",1821.40(11.78),42.99(0.37),45.09(0.08),48.09(0.08),44.46(0.37),8.38(0.06)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",1824.20(8.04),42.90(0.25),45.38(0.13),48.59(0.15),44.20(0.27),8.41(0.10)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",1816.00(9.27),43.16(0.29),45.52(0.16),48.74(0.16),44.35(0.31),8.33(0.11)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",1795.60(4.51),43.80(0.14),45.74(0.22),48.95(0.23),44.86(0.15),8.34(0.05)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",1832.20(6.94),42.65(0.22),44.47(0.06),47.55(0.05),44.27(0.22),12.44(0.08)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",1832.40(1.82),42.65(0.06),44.97(0.08),47.88(0.07),44.16(0.06),12.49(0.10)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",1832.40(7.96),42.65(0.25),45.15(0.11),48.36(0.08),43.99(0.24),12.57(0.12)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",1818.20(5.89),43.09(0.18),45.19(0.11),48.59(0.08),44.31(0.18),12.54(0.07)
"{'forestSize': 10, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",1804.80(6.14),43.51(0.19),45.31(0.12),48.82(0.10),44.61(0.19),12.52(0.13)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",1817.60(15.26),43.11(0.48),44.48(0.08),47.65(0.11),44.69(0.50),8.22(0.31)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",1822.40(9.07),42.96(0.28),45.01(0.15),47.98(0.11),44.44(0.31),8.47(0.11)
"{'forestSize': 10, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",1831.60(19.84),42.67(0.62),45.35(0.28),48.51(0.17),43.98(0.64),8.37(0.09)
