,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",12068.80(19.15),36.54(0.10),47.53(0.21),62.47(0.08),47.54(0.14),164.78(0.45)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",12002.80(14.20),36.89(0.07),47.65(0.14),62.63(0.11),47.34(0.06),165.93(2.19)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",11798.00(40.76),37.97(0.21),47.89(0.13),62.86(0.13),47.41(0.18),174.28(3.42)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",11644.60(44.33),38.77(0.23),48.05(0.11),63.00(0.13),47.39(0.23),164.47(0.52)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",11414.60(28.40),39.98(0.15),48.23(0.09),63.15(0.12),47.47(0.12),164.51(0.59)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",12357.60(23.33),35.02(0.12),47.10(0.08),62.20(0.07),47.80(0.12),335.65(0.64)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",12307.40(18.01),35.29(0.09),47.33(0.08),62.49(0.06),47.62(0.09),402.93(62.10)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",12176.40(31.41),35.98(0.17),47.67(0.10),62.75(0.06),47.47(0.10),363.86(3.24)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",12038.40(31.59),36.70(0.17),47.87(0.11),62.88(0.09),47.48(0.10),395.97(41.95)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",11867.80(40.75),37.60(0.21),48.11(0.10),63.02(0.12),47.26(0.15),371.10(8.98)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",12103.80(35.36),36.36(0.19),47.31(0.40),62.29(0.29),47.30(0.14),95.07(0.65)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",11974.80(38.21),37.04(0.20),47.45(0.43),62.50(0.30),47.25(0.11),95.42(1.03)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",11748.60(41.60),38.23(0.22),47.57(0.45),62.69(0.23),47.09(0.19),96.39(1.88)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",11581.60(41.79),39.11(0.22),47.64(0.44),62.77(0.19),47.00(0.09),95.54(0.97)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",11332.40(46.14),40.42(0.24),47.74(0.41),62.85(0.16),47.06(0.19),101.42(4.44)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",12332.00(32.76),35.16(0.17),47.21(0.14),62.29(0.14),47.91(0.21),197.82(9.49)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",12254.20(26.75),35.57(0.14),47.50(0.19),62.57(0.12),47.74(0.17),177.40(5.98)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",12118.80(15.09),36.28(0.08),47.80(0.21),62.82(0.14),47.46(0.14),173.41(0.91)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",11985.80(28.84),36.98(0.15),47.92(0.21),62.92(0.15),47.41(0.20),173.65(0.42)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",11769.80(16.10),38.12(0.08),48.05(0.19),63.04(0.15),47.45(0.12),178.63(5.68)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",12063.80(34.65),36.57(0.18),47.58(0.18),62.45(0.12),47.55(0.23),174.17(6.50)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",11986.80(24.95),36.97(0.13),47.71(0.11),62.63(0.15),47.41(0.19),167.22(1.18)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",11795.40(42.98),37.98(0.23),47.93(0.15),62.84(0.17),47.41(0.23),166.60(0.64)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",11640.20(49.28),38.80(0.26),48.07(0.18),62.96(0.18),47.44(0.27),166.55(0.39)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",11429.60(33.39),39.90(0.18),48.23(0.23),63.11(0.20),47.39(0.19),170.46(5.02)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",12364.00(21.11),34.99(0.11),47.11(0.08),62.20(0.10),48.18(0.15),561.40(14.74)
"{'forestSize': 5, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",12327.80(17.57),35.18(0.09),47.21(0.13),62.40(0.10),47.99(0.09),565.69(15.08)
