,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",1836.40(4.28),60.08(0.09),46.43(0.45),36.69(0.27),49.60(0.08),37.97(0.25)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",1842.60(1.67),59.94(0.04),46.48(0.51),36.86(0.33),49.55(0.04),37.81(0.12)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",1882.00(7.18),59.09(0.16),46.96(0.53),37.19(0.34),49.21(0.14),37.89(0.06)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",1902.80(11.63),58.63(0.25),47.27(0.53),37.37(0.32),49.34(0.28),37.90(0.09)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",1944.20(8.50),57.73(0.18),47.64(0.53),37.57(0.29),49.24(0.20),37.89(0.14)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",1834.20(3.70),60.13(0.08),45.95(0.19),36.42(0.18),49.64(0.07),68.67(0.55)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",1839.80(1.64),60.00(0.04),46.03(0.18),36.64(0.18),49.59(0.04),68.28(0.20)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",1874.60(5.18),59.25(0.11),46.61(0.16),36.99(0.17),49.38(0.12),72.81(0.86)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",1903.40(8.11),58.62(0.18),46.98(0.14),37.16(0.19),49.29(0.16),72.63(0.57)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",1942.60(9.34),57.77(0.20),47.42(0.11),37.37(0.17),49.22(0.19),69.57(1.63)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",1833.80(3.03),60.13(0.07),46.36(0.32),36.65(0.16),49.65(0.04),24.29(0.47)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",1836.00(4.85),60.09(0.11),46.34(0.27),36.82(0.19),49.68(0.08),24.00(0.14)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",1871.60(14.45),59.31(0.31),46.96(0.24),37.21(0.22),49.44(0.28),23.98(0.07)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",1903.60(7.83),58.62(0.17),47.35(0.24),37.38(0.21),49.33(0.16),23.99(0.12)
