,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",347.00(5.24),72.06(0.42),45.50(0.52),73.72(0.50),48.95(0.48),4.82(0.04)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",327.20(4.44),73.66(0.36),45.89(0.54),74.67(0.56),49.12(0.39),4.84(0.07)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",324.80(4.09),73.85(0.33),45.96(0.56),74.74(0.54),49.34(0.51),4.87(0.07)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",327.20(3.27),73.66(0.26),46.32(0.61),74.90(0.54),49.40(0.44),4.83(0.09)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",340.00(4.24),72.62(0.34),47.03(0.67),75.15(0.58),48.90(0.48),4.80(0.03)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",336.00(4.85),72.95(0.39),45.48(0.31),73.40(0.20),48.81(0.55),8.89(0.09)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",316.00(3.94),74.56(0.32),46.19(0.46),74.46(0.21),49.08(0.32),8.85(0.13)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",315.20(2.17),74.62(0.17),46.11(0.54),74.53(0.20),49.31(0.22),8.86(0.05)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",320.20(2.05),74.22(0.17),46.43(0.59),74.67(0.23),49.14(0.15),8.94(0.08)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",326.00(3.39),73.75(0.27),47.16(0.66),74.98(0.23),49.23(0.20),8.86(0.16)
