,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",551.40(4.93),21.00(0.71),25.62(0.90),23.41(0.31),28.16(0.88),0.35(0.07)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",543.20(8.53),22.18(1.22),29.13(1.34),24.36(0.44),29.35(1.42),0.32(0.00)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",534.80(9.76),23.38(1.40),33.49(1.51),25.93(0.52),29.82(1.57),0.32(0.00)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",532.60(9.50),23.70(1.36),35.99(1.63),26.97(0.62),29.78(1.50),0.32(0.00)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",525.40(10.60),24.73(1.52),38.73(1.81),28.06(0.68),30.55(1.60),0.32(0.00)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",561.60(3.36),19.54(0.48),24.96(0.68),23.13(0.16),26.81(0.79),0.39(0.00)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",550.20(4.15),21.17(0.59),28.67(0.82),24.09(0.21),28.76(0.73),0.39(0.00)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",545.20(5.63),21.89(0.81),34.14(0.97),25.85(0.27),29.25(0.85),0.39(0.00)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",544.60(6.07),21.98(0.87),36.87(1.06),26.85(0.33),29.16(1.03),0.39(0.00)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",541.60(4.98),22.41(0.71),39.75(1.20),27.99(0.43),29.29(0.93),0.39(0.00)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",560.40(12.03),19.71(1.72),24.48(1.58),23.08(0.35),26.00(2.21),0.28(0.00)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",548.20(11.97),21.46(1.71),27.17(1.10),23.82(0.26),27.73(1.64),0.28(0.00)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",534.00(13.67),23.50(1.96),32.14(1.71),25.60(0.66),29.55(1.65),0.28(0.00)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",523.80(11.39),24.96(1.63),35.04(1.91),26.77(0.93),30.75(1.43),0.28(0.00)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",516.80(16.99),25.96(2.43),38.03(1.85),28.17(1.02),31.53(2.23),0.28(0.00)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",561.20(5.89),19.60(0.84),24.62(0.84),23.07(0.21),26.62(0.85),0.32(0.00)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",552.60(7.02),20.83(1.01),28.26(1.15),24.01(0.34),28.24(1.26),0.32(0.00)
