,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",384.80(7.85),32.25(1.38),27.79(0.94),26.65(0.45),31.92(1.14),2.48(0.09)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",364.80(6.22),35.77(1.10),30.94(0.75),27.80(0.49),33.91(0.86),2.50(0.07)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",347.60(6.80),38.80(1.20),33.01(0.51),28.87(0.36),36.66(1.08),2.43(0.05)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",336.20(5.17),40.81(0.91),34.39(0.58),29.52(0.35),38.22(0.91),2.49(0.14)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",329.00(8.34),42.08(1.47),36.18(0.85),30.38(0.39),39.42(1.31),2.45(0.04)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",398.80(3.96),29.79(0.70),26.32(0.85),26.13(0.16),28.45(0.99),4.39(0.10)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",348.80(5.07),38.59(0.89),30.25(0.96),27.45(0.30),35.12(0.55),4.36(0.04)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",338.80(2.95),40.35(0.52),32.05(0.92),28.63(0.32),36.64(0.60),4.39(0.07)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",335.80(4.15),40.88(0.73),33.52(0.87),29.41(0.38),36.96(0.71),4.38(0.09)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",329.20(6.38),42.04(1.12),35.42(1.01),30.33(0.41),38.29(0.93),4.34(0.05)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",388.80(7.46),31.55(1.31),27.37(1.16),26.53(0.54),31.26(0.82),1.61(0.08)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",356.20(9.88),37.29(1.74),31.18(1.14),28.13(0.49),35.07(1.37),1.56(0.04)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",346.60(17.44),38.98(3.07),33.43(1.00),29.41(0.52),36.14(2.64),1.58(0.05)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",333.40(14.84),41.30(2.61),34.82(0.86),30.17(0.42),38.13(2.01),1.56(0.04)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",325.60(12.01),42.68(2.11),36.38(0.79),30.98(0.27),39.22(1.35),1.59(0.07)
