,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",45.00(0.00),77.16(0.00),41.03(3.31),20.16(1.19),52.60(0.00),0.46(0.00)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",45.00(0.00),77.16(0.00),39.93(3.77),20.41(1.44),52.60(0.00),0.49(0.05)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",46.00(0.00),76.65(0.00),40.70(3.57),20.67(1.42),51.51(0.00),0.47(0.02)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",46.00(0.00),76.65(0.00),41.24(3.21),20.84(1.47),51.51(0.00),0.46(0.01)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",46.00(0.00),76.65(0.00),42.23(2.97),21.06(1.37),51.51(0.00),0.48(0.04)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.01, 'delta': 0.001}",45.00(0.00),77.16(0.00),42.02(1.88),20.60(0.78),52.60(0.00),0.68(0.00)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.1, 'delta': 0.001}",45.00(0.00),77.16(0.00),39.66(2.57),20.01(0.97),52.60(0.00),0.68(0.00)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.3, 'delta': 0.001}",46.00(0.00),76.65(0.00),39.89(2.28),19.95(1.00),51.51(0.00),0.70(0.04)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.5, 'delta': 0.001}",46.00(0.00),76.65(0.00),40.42(2.03),20.16(0.96),51.51(0.00),0.69(0.02)
"{'forestSize': 3, 'replacementInterval': 5, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'random', 'alpha': 0.9, 'delta': 0.001}",46.00(0.00),76.65(0.00),41.41(1.97),20.31(1.02),51.51(0.00),0.69(0.01)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.01, 'delta': 0.001}",46.00(0.00),76.65(0.00),41.68(2.34),21.65(0.75),52.27(0.00),0.38(0.03)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.1, 'delta': 0.001}",46.00(0.00),76.65(0.00),40.13(2.48),21.40(0.74),52.27(0.00),0.36(0.01)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.3, 'delta': 0.001}",47.00(0.00),76.14(0.00),40.24(2.55),21.96(0.66),51.18(0.00),0.39(0.05)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.5, 'delta': 0.001}",47.00(0.00),76.14(0.00),40.76(2.53),22.05(0.63),51.18(0.00),0.37(0.03)
"{'forestSize': 3, 'replacementInterval': 10, 'replacementChance': 0.7, 'windowSize': 20, 'updateStrategy': 'oldest', 'alpha': 0.9, 'delta': 0.001}",47.00(0.00),76.14(0.00),41.79(2.79),22.27(0.82),51.18(0.00),0.36(0.00)
