,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'decay_choice': 0, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",354.20(13.55),54.94(1.72),58.92(1.69),26.51(7.37),46.75(6.15),745.34(17.14)
"{'decay_choice': 0, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",354.40(13.72),54.91(1.75),58.98(1.67),26.21(7.49),46.64(6.20),823.19(109.19)
"{'decay_choice': 0, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",353.60(13.32),55.01(1.69),58.85(1.52),26.07(7.55),46.69(6.18),805.68(59.12)
"{'decay_choice': 0, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",348.40(15.08),55.67(1.92),59.18(1.74),29.63(8.18),49.41(6.74),594.82(67.62)
"{'decay_choice': 0, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",351.00(9.03),55.34(1.15),58.93(1.42),29.37(7.98),49.33(6.75),480.85(33.85)
"{'decay_choice': 1, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",346.00(17.78),55.98(2.26),58.90(1.30),24.21(8.76),47.34(6.64),469.98(51.73)
"{'decay_choice': 1, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",346.20(16.83),55.95(2.14),59.29(0.89),24.61(8.45),47.33(6.61),438.38(136.15)
"{'decay_choice': 1, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",343.20(16.39),56.34(2.09),59.95(1.40),27.92(9.42),49.99(7.44),375.80(4.98)
"{'decay_choice': 1, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",348.00(16.31),55.73(2.08),59.08(1.12),24.26(8.63),47.30(6.15),391.67(24.30)
"{'decay_choice': 1, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",348.80(16.86),55.62(2.14),58.97(1.32),24.97(8.04),48.16(5.64),375.02(5.45)
"{'decay_choice': 2, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",338.20(11.95),56.97(1.52),57.59(2.11),15.45(8.94),48.10(5.00),371.43(7.00)
"{'decay_choice': 2, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",336.80(10.62),57.15(1.35),58.08(2.11),15.87(9.70),47.69(5.38),402.96(28.56)
"{'decay_choice': 2, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",339.20(5.89),56.84(0.75),58.28(2.48),16.26(10.45),46.81(5.98),369.18(4.34)
"{'decay_choice': 2, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",343.80(8.41),56.26(1.07),57.77(2.58),16.28(10.65),47.90(5.22),386.86(23.84)
"{'decay_choice': 2, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",348.40(8.02),55.67(1.02),57.72(2.22),16.75(11.51),47.88(5.21),380.29(19.03)
"{'decay_choice': 3, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",342.00(13.55),56.49(1.72),57.96(1.77),16.15(10.30),48.65(4.31),377.11(2.12)
"{'decay_choice': 3, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",342.60(12.78),56.41(1.63),57.96(1.82),16.27(10.53),48.81(4.43),397.24(24.79)
"{'decay_choice': 3, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",343.60(8.50),56.28(1.08),57.89(2.02),16.27(10.56),48.94(4.56),379.91(5.34)
"{'decay_choice': 3, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",346.20(12.91),55.95(1.64),57.85(2.36),16.62(11.27),48.65(4.58),387.48(20.94)
"{'decay_choice': 3, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",338.60(16.99),56.92(2.16),58.71(2.37),17.14(11.94),48.68(4.49),459.72(102.71)
"{'decay_choice': 4, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",349.20(13.99),55.57(1.78),56.54(2.29),16.59(11.47),48.74(4.34),388.73(5.31)
"{'decay_choice': 4, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",348.80(13.57),55.62(1.73),56.52(2.26),16.51(11.51),48.57(4.57),447.15(54.10)
"{'decay_choice': 4, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",343.00(16.12),56.36(2.05),57.33(2.34),16.74(11.77),48.78(4.57),365.65(4.49)
"{'decay_choice': 4, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",345.80(9.93),56.01(1.26),57.39(2.40),16.91(12.02),47.97(5.13),368.28(22.79)
"{'decay_choice': 4, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",351.60(9.74),55.27(1.24),57.32(2.21),17.61(12.20),47.65(4.92),366.28(27.42)
