,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'decay_choice': 0, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",170.60(6.99),84.43(0.64),91.54(0.34),91.29(0.45),84.43(0.64),6.28(0.01)
"{'decay_choice': 0, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",171.20(7.22),84.38(0.66),91.48(0.29),91.27(0.34),84.38(0.66),6.37(0.10)
"{'decay_choice': 0, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",170.60(8.88),84.43(0.81),91.24(0.42),91.03(0.42),84.43(0.81),6.58(0.19)
"{'decay_choice': 0, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",173.60(9.26),84.16(0.85),91.23(0.69),91.12(0.67),84.16(0.85),6.41(0.12)
"{'decay_choice': 0, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",174.20(16.57),84.11(1.51),90.54(1.04),90.59(0.85),84.10(1.51),6.32(0.03)
"{'decay_choice': 1, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",164.60(2.07),84.98(0.19),92.90(0.19),91.30(0.28),84.98(0.19),7.89(2.06)
"{'decay_choice': 1, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",166.40(2.51),84.82(0.23),92.86(0.17),91.29(0.27),84.82(0.23),9.25(1.68)
"{'decay_choice': 1, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",166.60(5.86),84.80(0.53),92.82(0.13),91.37(0.19),84.80(0.53),12.26(0.83)
"{'decay_choice': 1, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",169.00(4.30),84.58(0.39),92.85(0.05),91.57(0.05),84.58(0.39),12.53(3.13)
"{'decay_choice': 1, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",167.00(2.83),84.76(0.26),92.50(0.10),91.57(0.15),84.76(0.26),13.81(3.19)
"{'decay_choice': 2, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",169.20(2.17),84.56(0.20),92.03(0.20),91.13(0.28),84.57(0.20),14.52(5.32)
"{'decay_choice': 2, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",144.20(3.70),86.84(0.34),93.28(0.11),92.49(0.12),86.85(0.34),14.23(4.01)
"{'decay_choice': 2, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",145.20(2.77),86.75(0.25),93.65(0.06),92.83(0.06),86.75(0.25),13.21(2.16)
"{'decay_choice': 2, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",152.40(2.79),86.09(0.25),93.66(0.04),92.63(0.09),86.09(0.25),14.04(1.38)
"{'decay_choice': 2, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",155.20(1.30),85.84(0.12),92.70(0.07),91.30(0.09),85.84(0.12),18.30(9.38)
"{'decay_choice': 3, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",146.00(1.58),86.68(0.14),93.39(0.10),92.41(0.12),86.69(0.14),12.78(3.82)
"{'decay_choice': 3, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",137.00(1.41),87.50(0.13),94.03(0.06),93.14(0.07),87.50(0.13),15.57(3.93)
"{'decay_choice': 3, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",143.20(2.28),86.93(0.21),94.09(0.03),93.17(0.03),86.94(0.21),15.39(2.94)
"{'decay_choice': 3, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",143.20(2.49),86.93(0.23),93.96(0.04),92.82(0.08),86.93(0.23),21.65(8.08)
"{'decay_choice': 3, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",150.80(4.92),86.24(0.45),92.64(0.06),91.18(0.09),86.24(0.45),16.36(2.51)
"{'decay_choice': 4, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",130.40(3.44),88.10(0.31),94.59(0.06),93.72(0.09),88.10(0.31),14.38(3.28)
"{'decay_choice': 4, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",136.40(1.95),87.55(0.18),94.46(0.05),93.55(0.08),87.56(0.18),18.61(9.72)
"{'decay_choice': 4, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",141.60(2.07),87.08(0.19),94.30(0.04),93.33(0.05),87.08(0.19),15.16(5.19)
"{'decay_choice': 4, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",143.40(3.05),86.92(0.28),94.04(0.04),92.88(0.07),86.91(0.28),21.27(12.26)
"{'decay_choice': 4, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",154.40(3.51),85.91(0.32),92.63(0.17),91.20(0.17),85.91(0.32),14.31(1.50)
