,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'decay_choice': 0, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",186.20(9.86),83.01(0.90),90.49(0.31),90.61(0.40),83.01(0.90),9.30(0.19)
"{'decay_choice': 0, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",185.40(9.76),83.08(0.89),90.34(0.29),90.43(0.33),83.08(0.89),10.73(0.92)
"{'decay_choice': 0, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",190.60(9.96),82.61(0.91),90.26(0.46),90.41(0.55),82.61(0.91),12.69(0.16)
"{'decay_choice': 0, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",188.60(10.26),82.79(0.94),90.33(0.43),90.42(0.52),82.79(0.94),14.46(0.85)
"{'decay_choice': 0, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",196.20(10.26),82.10(0.94),89.60(0.62),89.91(0.56),82.09(0.94),13.20(0.61)
"{'decay_choice': 1, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",174.60(4.67),84.07(0.43),91.81(0.21),90.67(0.25),84.07(0.43),12.39(0.02)
"{'decay_choice': 1, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",176.60(5.86),83.89(0.53),91.71(0.22),90.63(0.25),83.88(0.53),12.51(0.13)
"{'decay_choice': 1, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",177.80(7.12),83.78(0.65),91.61(0.21),90.58(0.25),83.77(0.65),12.75(0.50)
"{'decay_choice': 1, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",181.00(6.12),83.49(0.56),91.58(0.27),90.68(0.34),83.48(0.56),12.64(0.10)
"{'decay_choice': 1, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",188.40(5.22),82.81(0.48),91.18(0.20),90.73(0.28),82.81(0.48),13.05(0.48)
"{'decay_choice': 2, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",193.80(2.17),82.32(0.20),90.43(0.33),89.11(1.10),82.32(0.20),13.19(0.66)
"{'decay_choice': 2, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",174.20(5.72),84.11(0.52),91.43(0.64),89.56(0.93),84.11(0.52),12.78(0.31)
"{'decay_choice': 2, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",166.20(7.26),84.84(0.66),91.78(0.84),89.94(1.40),84.84(0.66),12.15(0.65)
"{'decay_choice': 2, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",167.80(5.40),84.69(0.49),91.94(0.69),89.83(1.35),84.69(0.49),11.18(0.85)
"{'decay_choice': 2, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",176.80(2.17),83.87(0.20),91.57(0.40),89.57(0.64),83.87(0.20),10.16(1.01)
"{'decay_choice': 3, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",175.20(2.17),84.01(0.20),91.66(0.50),89.81(0.78),84.02(0.20),12.00(0.10)
"{'decay_choice': 3, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",165.20(5.26),84.93(0.48),92.25(0.75),90.14(1.18),84.93(0.48),11.93(0.14)
"{'decay_choice': 3, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",163.60(6.62),85.07(0.60),92.36(0.87),90.39(1.44),85.07(0.60),11.99(0.09)
"{'decay_choice': 3, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",165.00(4.85),84.95(0.44),92.25(0.76),90.08(1.35),84.94(0.44),11.98(0.08)
"{'decay_choice': 3, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",176.00(4.18),83.94(0.38),91.62(0.41),89.51(0.88),83.94(0.38),12.08(0.14)
"{'decay_choice': 4, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",154.20(4.66),85.93(0.43),93.23(0.68),91.17(1.21),85.93(0.43),12.07(0.09)
"{'decay_choice': 4, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",156.20(5.45),85.75(0.50),93.07(0.77),90.97(1.29),85.75(0.50),12.05(0.06)
"{'decay_choice': 4, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",161.00(6.44),85.31(0.59),92.84(0.81),90.68(1.33),85.31(0.59),12.10(0.11)
"{'decay_choice': 4, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",168.20(6.87),84.65(0.63),92.39(0.73),90.27(1.08),84.65(0.63),11.90(0.43)
"{'decay_choice': 4, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",179.20(3.70),83.65(0.34),91.59(0.37),89.64(1.11),83.65(0.34),11.97(0.09)
