,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'decay_choice': 0, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1043.00(0.00),67.37(0.00),72.71(0.00),76.05(0.00),67.29(0.00),123.73(8.34)
"{'decay_choice': 0, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1034.00(0.00),67.65(0.00),72.72(0.00),76.19(0.00),67.57(0.00),129.21(8.61)
"{'decay_choice': 0, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1046.00(0.00),67.27(0.00),72.92(0.00),76.74(0.00),67.21(0.00),88.55(24.77)
"{'decay_choice': 0, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1037.00(0.00),67.55(0.00),72.77(0.00),77.12(0.00),67.50(0.00),68.55(0.02)
"{'decay_choice': 0, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1043.00(0.00),67.37(0.00),72.36(0.00),77.00(0.00),67.29(0.00),68.55(0.04)
"{'decay_choice': 1, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1016.00(0.00),68.21(0.00),76.15(0.00),77.71(0.00),68.15(0.00),68.54(0.07)
"{'decay_choice': 1, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1016.00(0.00),68.21(0.00),75.90(0.00),77.67(0.00),68.13(0.00),69.02(1.25)
"{'decay_choice': 1, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1009.00(0.00),68.43(0.00),75.72(0.00),77.58(0.00),68.35(0.00),68.49(0.08)
"{'decay_choice': 1, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1025.00(0.00),67.93(0.00),75.42(0.00),77.12(0.00),67.86(0.00),68.52(0.03)
"{'decay_choice': 1, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1038.00(0.00),67.52(0.00),73.94(0.00),75.52(0.00),67.44(0.00),69.25(1.44)
"{'decay_choice': 2, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1118.00(0.00),65.02(0.00),69.37(0.00),67.78(0.00),65.12(0.00),68.53(0.05)
"{'decay_choice': 2, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1006.00(0.00),68.52(0.00),74.12(0.00),73.22(0.00),68.32(0.00),68.58(0.09)
"{'decay_choice': 2, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",972.00(0.00),69.59(0.00),75.95(0.00),75.27(0.00),69.49(0.00),68.56(0.05)
"{'decay_choice': 2, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",950.00(0.00),70.28(0.00),77.18(0.00),76.86(0.00),70.18(0.00),68.60(0.02)
"{'decay_choice': 2, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1033.00(0.00),67.68(0.00),74.47(0.00),75.29(0.00),67.60(0.00),69.27(1.49)
"{'decay_choice': 3, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1082.00(0.00),66.15(0.00),71.01(0.00),69.51(0.00),66.16(0.00),68.65(0.06)
"{'decay_choice': 3, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",952.00(0.00),70.21(0.00),75.21(0.00),74.44(0.00),70.00(0.00),68.57(0.10)
"{'decay_choice': 3, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",939.00(0.00),70.62(0.00),76.86(0.00),76.45(0.00),70.51(0.00),68.60(0.03)
"{'decay_choice': 3, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",937.00(0.00),70.68(0.00),77.44(0.00),77.71(0.00),70.58(0.00),68.60(0.08)
"{'decay_choice': 3, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1014.00(0.00),68.27(0.00),74.51(0.00),75.62(0.00),68.15(0.00),68.63(0.14)
"{'decay_choice': 4, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",915.00(0.00),71.37(0.00),77.12(0.00),75.55(0.00),71.17(0.00),68.67(0.11)
"{'decay_choice': 4, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",907.00(0.00),71.62(0.00),77.87(0.00),76.53(0.00),71.50(0.00),68.52(0.02)
"{'decay_choice': 4, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",914.00(0.00),71.40(0.00),78.11(0.00),77.15(0.00),71.30(0.00),68.57(0.06)
"{'decay_choice': 4, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",972.00(0.00),69.59(0.00),77.24(0.00),77.58(0.00),69.49(0.00),68.79(0.15)
"{'decay_choice': 4, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1026.00(0.00),67.90(0.00),74.25(0.00),74.71(0.00),67.80(0.00),68.72(0.05)
