,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'decay_choice': 0, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1016.00(0.00),68.21(0.00),73.72(0.00),77.84(0.00),68.15(0.00),147.48(7.99)
"{'decay_choice': 0, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1030.00(0.00),67.77(0.00),72.96(0.00),77.19(0.00),67.71(0.00),118.93(12.30)
"{'decay_choice': 0, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1029.00(0.00),67.80(0.00),73.44(0.00),77.83(0.00),67.74(0.00),116.10(10.65)
"{'decay_choice': 0, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1027.00(0.00),67.87(0.00),72.91(0.00),77.32(0.00),67.80(0.00),110.81(8.04)
"{'decay_choice': 0, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1032.00(0.00),67.71(0.00),72.40(0.00),77.21(0.00),67.63(0.00),119.41(16.76)
"{'decay_choice': 1, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",987.00(0.00),69.12(0.00),76.48(0.00),77.96(0.00),69.05(0.00),116.80(12.27)
"{'decay_choice': 1, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",994.00(0.00),68.90(0.00),76.28(0.00),77.87(0.00),68.83(0.00),113.65(7.10)
"{'decay_choice': 1, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",987.00(0.00),69.12(0.00),76.18(0.00),77.90(0.00),69.07(0.00),114.52(4.48)
"{'decay_choice': 1, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1010.00(0.00),68.40(0.00),75.61(0.00),77.59(0.00),68.35(0.00),113.27(7.54)
"{'decay_choice': 1, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1012.00(0.00),68.34(0.00),75.34(0.00),77.52(0.00),68.28(0.00),117.92(13.04)
"{'decay_choice': 2, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1203.00(0.00),62.36(0.00),65.55(0.00),64.30(0.00),62.46(0.00),112.24(10.94)
"{'decay_choice': 2, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1113.00(0.00),65.18(0.00),70.68(0.00),69.84(0.00),65.00(0.00),106.22(6.71)
"{'decay_choice': 2, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1028.00(0.00),67.83(0.00),73.56(0.00),72.79(0.00),67.72(0.00),114.51(9.19)
"{'decay_choice': 2, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",946.00(0.00),70.40(0.00),76.89(0.00),76.74(0.00),70.31(0.00),101.03(2.02)
"{'decay_choice': 2, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",981.00(0.00),69.31(0.00),75.80(0.00),77.29(0.00),69.22(0.00),101.25(1.36)
"{'decay_choice': 3, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1147.00(0.00),64.11(0.00),67.47(0.00),65.99(0.00),64.12(0.00),102.81(3.13)
"{'decay_choice': 3, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1064.00(0.00),66.71(0.00),72.33(0.00),71.40(0.00),66.51(0.00),100.54(2.45)
"{'decay_choice': 3, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",976.00(0.00),69.46(0.00),75.10(0.00),74.50(0.00),69.34(0.00),103.22(2.36)
"{'decay_choice': 3, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",924.00(0.00),71.09(0.00),77.49(0.00),77.71(0.00),71.02(0.00),102.35(2.74)
"{'decay_choice': 3, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",989.00(0.00),69.06(0.00),75.71(0.00),77.13(0.00),68.94(0.00),101.33(1.28)
"{'decay_choice': 4, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",983.00(0.00),69.24(0.00),74.25(0.00),72.20(0.00),69.04(0.00),99.49(8.45)
"{'decay_choice': 4, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",942.00(0.00),70.53(0.00),76.42(0.00),74.85(0.00),70.41(0.00),89.44(0.69)
"{'decay_choice': 4, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",921.00(0.00),71.18(0.00),77.59(0.00),76.64(0.00),71.10(0.00),89.05(0.43)
"{'decay_choice': 4, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",951.00(0.00),70.24(0.00),77.51(0.00),77.67(0.00),70.15(0.00),88.78(0.29)
"{'decay_choice': 4, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",995.00(0.00),68.87(0.00),75.26(0.00),76.38(0.00),68.76(0.00),89.51(1.93)
