,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'decay_choice': 0, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",7534.80(94.33),60.38(0.50),58.18(0.61),73.93(2.62),56.46(0.41),69.55(3.25)
"{'decay_choice': 0, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",7600.00(72.91),60.04(0.38),58.06(0.27),73.77(1.53),56.15(0.40),82.09(2.78)
"{'decay_choice': 0, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",7554.80(77.95),60.28(0.41),58.29(0.75),74.92(0.70),56.43(0.45),87.58(2.24)
"{'decay_choice': 0, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",7595.00(30.37),60.07(0.16),57.95(0.28),74.19(2.41),56.17(0.20),86.74(2.51)
"{'decay_choice': 0, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",7554.40(19.62),60.28(0.10),57.98(0.18),77.33(0.37),56.43(0.13),88.60(1.90)
"{'decay_choice': 1, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6345.20(88.44),66.64(0.46),63.76(0.51),73.36(0.44),59.67(0.24),89.43(2.63)
"{'decay_choice': 1, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6421.00(39.61),66.24(0.21),63.07(0.25),72.71(0.21),59.33(0.16),88.68(3.15)
"{'decay_choice': 1, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6643.60(37.29),65.07(0.20),62.14(0.27),72.11(0.21),58.49(0.17),90.28(1.31)
"{'decay_choice': 1, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6837.00(58.16),64.05(0.31),61.05(0.36),71.29(0.29),58.22(0.21),89.60(2.44)
"{'decay_choice': 1, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",7324.80(29.13),61.49(0.15),58.52(0.11),69.58(0.23),56.92(0.15),84.47(6.27)
"{'decay_choice': 2, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",5815.20(27.14),69.43(0.14),67.65(0.33),77.11(0.34),60.95(0.08),90.03(0.90)
"{'decay_choice': 2, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",5900.00(16.05),68.98(0.08),67.35(0.22),76.85(0.25),60.95(0.07),89.23(3.57)
"{'decay_choice': 2, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6068.40(22.10),68.09(0.12),65.94(0.12),75.80(0.13),60.33(0.09),88.31(1.76)
"{'decay_choice': 2, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6307.20(19.38),66.84(0.10),64.18(0.11),74.29(0.11),59.76(0.06),90.12(1.15)
"{'decay_choice': 2, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",7008.80(9.23),63.15(0.05),60.14(0.04),70.81(0.07),57.54(0.06),86.78(3.77)
"{'decay_choice': 3, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",5775.40(13.16),69.64(0.07),68.04(0.17),77.51(0.17),61.05(0.05),87.28(3.34)
"{'decay_choice': 3, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",5867.80(11.34),69.15(0.06),67.58(0.12),77.06(0.13),61.08(0.06),87.05(3.38)
"{'decay_choice': 3, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6044.00(18.67),68.22(0.10),66.02(0.06),75.89(0.07),60.45(0.10),107.46(18.78)
"{'decay_choice': 3, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6296.40(8.88),66.90(0.05),64.27(0.06),74.36(0.07),59.80(0.04),122.23(27.14)
"{'decay_choice': 3, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",7002.80(6.61),63.18(0.03),60.21(0.03),70.93(0.05),57.56(0.05),81.49(1.35)
"{'decay_choice': 4, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",5788.40(9.45),69.57(0.05),68.15(0.06),77.40(0.07),60.94(0.05),83.46(2.61)
"{'decay_choice': 4, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",5929.40(9.02),68.83(0.05),67.72(0.06),77.17(0.06),60.63(0.04),83.18(1.57)
"{'decay_choice': 4, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6013.80(7.16),68.38(0.04),65.96(0.05),75.82(0.05),60.68(0.05),81.93(3.46)
"{'decay_choice': 4, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6337.00(6.00),66.68(0.03),64.22(0.02),74.26(0.03),59.67(0.03),82.21(1.75)
"{'decay_choice': 4, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6997.60(4.22),63.21(0.02),60.11(0.01),70.89(0.02),57.63(0.02),91.45(18.94)
