,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'decay_choice': 0, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",7436.40(58.10),60.90(0.31),59.29(0.21),73.78(1.66),57.11(0.34),80.87(1.86)
"{'decay_choice': 0, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",7417.80(73.26),61.00(0.39),59.35(0.39),75.51(1.83),57.25(0.39),82.22(0.34)
"{'decay_choice': 0, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",7438.80(64.74),60.89(0.34),59.21(0.42),74.57(2.47),57.10(0.36),83.13(0.66)
"{'decay_choice': 0, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",7509.80(32.07),60.52(0.17),58.51(0.29),75.84(2.77),56.68(0.21),81.75(1.09)
"{'decay_choice': 0, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",7496.40(92.67),60.59(0.49),58.45(0.56),77.76(0.30),56.78(0.50),81.82(1.78)
"{'decay_choice': 1, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6191.00(38.31),67.45(0.20),64.10(0.21),73.04(0.18),60.40(0.17),81.91(1.16)
"{'decay_choice': 1, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6346.80(25.05),66.63(0.13),63.25(0.16),72.49(0.13),59.66(0.12),81.12(1.83)
"{'decay_choice': 1, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6472.40(10.50),65.97(0.06),62.34(0.13),71.86(0.07),59.48(0.03),81.92(0.52)
"{'decay_choice': 1, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6782.60(17.52),64.34(0.09),60.74(0.11),70.80(0.11),58.55(0.13),80.69(1.02)
"{'decay_choice': 1, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",7431.40(76.25),60.93(0.40),58.62(0.20),69.71(0.31),56.85(0.27),82.13(1.10)
"{'decay_choice': 2, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",5805.80(16.15),69.48(0.08),67.02(0.09),76.19(0.08),61.40(0.03),80.47(1.02)
"{'decay_choice': 2, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",5866.40(13.39),69.16(0.07),66.97(0.05),76.09(0.04),61.21(0.06),82.42(1.74)
"{'decay_choice': 2, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",5884.00(12.35),69.06(0.06),66.06(0.03),75.24(0.02),61.53(0.06),85.04(1.28)
"{'decay_choice': 2, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6166.00(4.53),67.58(0.02),64.56(0.03),73.96(0.01),60.35(0.02),84.76(0.75)
"{'decay_choice': 2, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6967.00(7.38),63.37(0.04),60.40(0.05),70.82(0.00),58.00(0.02),85.12(0.56)
"{'decay_choice': 3, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",5702.80(12.74),70.02(0.07),67.78(0.06),76.81(0.06),61.70(0.05),84.56(1.07)
"{'decay_choice': 3, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",5820.60(5.32),69.40(0.03),67.36(0.04),76.45(0.03),61.34(0.04),84.56(1.11)
"{'decay_choice': 3, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",5854.80(7.73),69.22(0.04),66.22(0.01),75.42(0.01),61.62(0.04),84.78(0.46)
"{'decay_choice': 3, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6134.60(11.06),67.75(0.06),64.64(0.03),74.01(0.02),60.49(0.07),83.19(1.26)
"{'decay_choice': 3, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6955.40(4.83),63.43(0.03),60.53(0.03),70.87(0.01),58.04(0.02),83.07(0.90)
"{'decay_choice': 4, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",5619.20(6.22),70.46(0.03),68.33(0.03),77.13(0.02),61.88(0.02),83.42(1.06)
"{'decay_choice': 4, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",5767.60(6.47),69.68(0.03),67.55(0.02),76.59(0.01),61.58(0.04),80.63(0.41)
"{'decay_choice': 4, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",5900.80(7.33),68.98(0.04),66.10(0.01),75.29(0.01),61.34(0.05),80.50(0.33)
"{'decay_choice': 4, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6149.80(3.11),67.67(0.02),64.49(0.02),73.79(0.01),60.48(0.01),81.03(0.98)
"{'decay_choice': 4, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",6983.60(5.68),63.28(0.03),60.44(0.05),70.82(0.03),57.93(0.03),80.58(0.62)
