,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'decay_choice': 0, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1460.20(19.88),68.26(0.43),72.00(0.65),67.16(0.70),66.70(0.47),91.01(11.32)
"{'decay_choice': 0, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1448.40(8.38),68.52(0.18),72.34(0.25),67.36(0.32),66.95(0.20),115.64(3.18)
"{'decay_choice': 0, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1446.40(8.08),68.56(0.18),72.23(0.25),67.42(0.44),66.99(0.17),109.73(2.99)
"{'decay_choice': 0, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1449.60(9.61),68.49(0.21),71.66(0.56),67.34(0.65),66.93(0.24),108.75(4.56)
"{'decay_choice': 0, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1465.60(20.31),68.15(0.44),71.09(0.89),67.20(0.76),66.54(0.47),108.37(6.00)
"{'decay_choice': 1, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1397.40(6.62),69.63(0.14),74.40(0.37),65.23(0.50),68.11(0.14),106.74(2.19)
"{'decay_choice': 1, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1412.80(17.12),69.29(0.37),74.22(0.61),65.08(0.78),67.76(0.40),104.07(3.22)
"{'decay_choice': 1, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1420.40(23.22),69.13(0.50),74.10(0.66),65.07(0.60),67.62(0.54),109.48(7.42)
"{'decay_choice': 1, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1431.60(18.15),68.89(0.39),73.86(0.61),65.24(0.47),67.36(0.42),111.73(3.91)
"{'decay_choice': 1, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1461.40(14.81),68.24(0.32),72.37(0.29),64.87(0.61),66.68(0.32),109.16(4.12)
"{'decay_choice': 2, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1293.40(16.02),71.89(0.35),77.46(0.34),68.93(0.58),69.86(0.34),107.25(2.31)
"{'decay_choice': 2, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1191.20(12.13),74.11(0.26),79.80(0.15),71.84(0.19),72.26(0.27),108.10(1.00)
"{'decay_choice': 2, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1216.00(12.35),73.57(0.27),79.38(0.15),71.78(0.22),71.88(0.27),107.81(2.37)
"{'decay_choice': 2, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1314.80(11.82),71.42(0.26),77.06(0.11),68.81(0.22),69.86(0.26),107.97(1.29)
"{'decay_choice': 2, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1403.00(11.81),69.51(0.26),73.72(0.16),64.30(0.13),67.99(0.24),143.88(13.02)
"{'decay_choice': 3, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1231.60(15.18),73.23(0.33),78.89(0.25),70.92(0.43),71.14(0.32),117.60(11.76)
"{'decay_choice': 3, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1167.80(10.03),74.62(0.22),80.56(0.14),72.94(0.15),72.72(0.18),109.76(3.65)
"{'decay_choice': 3, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1193.60(8.47),74.06(0.18),79.92(0.11),72.53(0.15),72.33(0.19),108.66(1.99)
"{'decay_choice': 3, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1310.80(6.87),71.51(0.15),77.22(0.11),69.07(0.18),69.94(0.16),107.34(3.23)
"{'decay_choice': 3, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1406.00(20.33),69.44(0.44),73.66(0.16),64.48(0.15),67.95(0.47),113.22(9.23)
"{'decay_choice': 4, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1139.80(13.16),75.23(0.29),81.00(0.17),73.39(0.26),73.38(0.30),117.10(12.53)
"{'decay_choice': 4, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1165.20(13.55),74.68(0.29),80.36(0.12),72.84(0.14),72.88(0.29),115.78(15.81)
"{'decay_choice': 4, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1214.40(7.20),73.61(0.16),79.32(0.05),71.65(0.10),71.95(0.18),107.02(1.38)
"{'decay_choice': 4, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1334.00(8.00),71.01(0.17),76.66(0.17),68.23(0.17),69.44(0.14),104.52(1.58)
"{'decay_choice': 4, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1418.20(10.71),69.18(0.23),73.51(0.06),64.33(0.19),67.68(0.27),107.77(3.70)
