,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'decay_choice': 0, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1132.40(20.62),75.39(0.45),79.87(0.45),75.73(0.47),74.21(0.48),97.18(5.27)
"{'decay_choice': 0, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1137.80(23.04),75.27(0.50),79.70(0.46),75.62(0.45),74.08(0.51),92.50(1.80)
"{'decay_choice': 0, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1151.00(17.22),74.98(0.37),79.44(0.29),75.39(0.20),73.78(0.39),90.30(0.73)
"{'decay_choice': 0, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1144.00(23.27),75.14(0.51),79.42(0.72),75.49(0.64),73.96(0.51),92.34(0.81)
"{'decay_choice': 0, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1141.20(24.28),75.20(0.53),78.88(0.69),75.35(0.53),74.01(0.56),91.05(0.92)
"{'decay_choice': 1, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1100.60(8.41),76.08(0.18),83.20(0.15),77.85(0.20),74.94(0.18),90.45(0.53)
"{'decay_choice': 1, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1105.00(13.06),75.98(0.28),82.92(0.11),77.43(0.20),74.84(0.31),88.47(1.50)
"{'decay_choice': 1, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1115.80(23.50),75.75(0.51),82.46(0.51),76.94(0.56),74.59(0.53),90.43(0.19)
"{'decay_choice': 1, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1123.80(12.21),75.57(0.27),81.72(0.46),76.16(0.48),74.42(0.27),91.97(0.58)
"{'decay_choice': 1, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1134.20(8.53),75.35(0.19),80.43(0.31),75.29(0.16),74.18(0.19),91.21(1.61)
"{'decay_choice': 2, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1126.40(18.04),75.52(0.39),82.03(0.37),75.00(0.59),74.00(0.41),89.55(1.45)
"{'decay_choice': 2, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1013.80(7.12),77.97(0.15),84.54(0.02),79.28(0.03),76.70(0.13),88.61(1.07)
"{'decay_choice': 2, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1020.20(4.55),77.83(0.10),84.34(0.02),79.22(0.02),76.57(0.11),90.17(1.34)
"{'decay_choice': 2, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1060.00(5.79),76.96(0.13),83.44(0.04),78.10(0.06),75.79(0.14),89.42(1.14)
"{'decay_choice': 2, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1111.60(9.21),75.84(0.20),80.84(0.19),73.63(0.40),74.68(0.19),92.70(6.10)
"{'decay_choice': 3, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1072.20(9.01),76.70(0.20),83.36(0.16),76.96(0.26),75.01(0.23),87.68(0.52)
"{'decay_choice': 3, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",985.80(4.15),78.57(0.09),85.33(0.03),80.48(0.04),77.24(0.09),93.27(1.87)
"{'decay_choice': 3, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1006.40(7.77),78.13(0.17),84.88(0.02),80.02(0.03),76.82(0.19),92.16(2.26)
"{'decay_choice': 3, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1054.80(5.07),77.07(0.11),83.61(0.04),78.13(0.06),75.84(0.11),93.57(1.63)
"{'decay_choice': 3, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1122.60(8.50),75.60(0.18),80.70(0.16),73.42(0.30),74.41(0.20),93.25(2.25)
"{'decay_choice': 4, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",927.00(1.87),79.85(0.04),86.75(0.05),82.13(0.08),78.49(0.03),92.86(3.09)
"{'decay_choice': 4, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",981.80(6.76),78.66(0.15),85.78(0.06),81.09(0.07),77.27(0.17),92.70(1.89)
"{'decay_choice': 4, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1014.20(4.27),77.96(0.09),84.93(0.06),79.98(0.10),76.73(0.11),92.90(1.67)
"{'decay_choice': 4, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1090.40(10.60),76.30(0.23),83.21(0.14),77.31(0.17),75.10(0.22),89.70(0.32)
"{'decay_choice': 4, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",1144.80(7.66),75.12(0.17),80.36(0.16),73.26(0.26),73.92(0.16),91.22(1.06)
