,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'decay_choice': 0, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",354.00(2.92),71.52(0.23),58.62(0.39),79.34(0.38),58.13(0.41),7.96(0.04)
"{'decay_choice': 0, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",355.20(3.70),71.42(0.30),58.57(0.39),79.30(0.36),58.05(0.46),8.13(0.27)
"{'decay_choice': 0, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",356.20(3.63),71.34(0.29),58.50(0.39),79.23(0.35),58.09(0.41),7.82(0.02)
"{'decay_choice': 0, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",358.40(4.16),71.17(0.33),58.39(0.32),79.15(0.29),58.11(0.41),10.19(2.52)
"{'decay_choice': 0, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",368.60(4.39),70.35(0.35),57.99(0.20),78.98(0.32),57.50(0.49),13.96(0.87)
"{'decay_choice': 1, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",327.20(4.76),73.68(0.38),63.16(0.16),82.48(0.22),57.53(0.26),13.21(2.62)
"{'decay_choice': 1, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",327.60(4.10),73.64(0.33),63.12(0.14),82.49(0.21),57.39(0.40),14.65(0.79)
"{'decay_choice': 1, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",327.20(3.42),73.68(0.28),62.95(0.16),82.45(0.23),57.69(0.39),13.97(1.79)
"{'decay_choice': 1, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",329.20(5.45),73.52(0.44),62.29(0.20),82.21(0.27),57.98(0.68),15.32(3.58)
"{'decay_choice': 1, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",351.80(6.53),71.70(0.53),60.06(0.46),81.43(0.43),56.88(0.52),13.44(2.88)
"{'decay_choice': 2, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",295.20(4.15),76.25(0.33),60.51(0.52),81.94(0.33),52.29(0.43),13.62(2.24)
"{'decay_choice': 2, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",295.00(4.30),76.27(0.35),62.23(0.41),82.62(0.27),52.33(0.66),13.30(1.77)
"{'decay_choice': 2, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",296.20(3.83),76.17(0.31),63.15(0.26),82.59(0.22),52.99(0.20),14.39(4.77)
"{'decay_choice': 2, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",297.40(1.52),76.07(0.12),63.67(0.13),82.71(0.07),55.50(0.21),11.99(1.26)
"{'decay_choice': 2, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",306.80(3.11),75.32(0.25),63.70(0.10),82.73(0.12),57.47(0.20),12.98(2.18)
"{'decay_choice': 3, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",297.60(1.14),76.06(0.09),60.63(0.55),82.05(0.31),51.17(0.12),14.75(3.45)
"{'decay_choice': 3, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",296.40(0.89),76.15(0.07),62.39(0.40),82.83(0.29),51.42(0.11),17.94(2.19)
"{'decay_choice': 3, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",295.20(2.77),76.25(0.22),63.31(0.24),82.99(0.17),52.48(0.32),20.81(3.72)
"{'decay_choice': 3, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",297.60(2.07),76.06(0.17),63.83(0.13),83.07(0.07),55.09(0.15),16.23(2.29)
"{'decay_choice': 3, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",305.00(2.55),75.46(0.21),63.46(0.12),82.59(0.10),57.47(0.22),15.67(2.23)
"{'decay_choice': 4, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",293.60(2.07),76.38(0.17),62.47(0.34),82.49(0.17),52.87(0.12),17.26(2.46)
"{'decay_choice': 4, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",296.40(1.67),76.15(0.13),63.09(0.22),82.71(0.11),53.16(0.35),16.80(2.44)
"{'decay_choice': 4, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",297.20(1.48),76.09(0.12),63.56(0.20),82.80(0.08),54.37(0.29),15.87(3.25)
"{'decay_choice': 4, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",297.40(1.82),76.07(0.15),63.83(0.02),83.12(0.07),56.34(0.23),10.40(0.64)
"{'decay_choice': 4, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",307.80(2.49),75.24(0.20),63.51(0.15),82.41(0.16),57.90(0.30),9.33(0.67)
