,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'decay_choice': 0, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",361.00(3.32),70.96(0.27),57.26(0.22),78.29(0.22),57.48(0.39),11.91(0.36)
"{'decay_choice': 0, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",362.40(4.10),70.84(0.33),57.31(0.27),78.31(0.25),57.36(0.54),12.47(0.20)
"{'decay_choice': 0, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",362.60(3.85),70.83(0.31),57.35(0.36),78.34(0.27),57.49(0.47),12.55(0.50)
"{'decay_choice': 0, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",362.60(2.70),70.83(0.22),57.37(0.41),78.36(0.30),57.68(0.30),13.49(0.99)
"{'decay_choice': 0, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",375.80(4.21),69.77(0.34),57.10(0.42),78.21(0.25),57.05(0.52),12.07(0.18)
"{'decay_choice': 1, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",324.80(5.17),73.87(0.42),61.43(0.38),80.96(0.42),56.45(0.58),11.79(0.14)
"{'decay_choice': 1, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",324.20(4.21),73.92(0.34),61.51(0.38),80.99(0.40),56.80(0.53),12.31(0.35)
"{'decay_choice': 1, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",322.00(4.12),74.09(0.33),61.30(0.38),80.92(0.37),57.15(0.41),12.37(0.31)
"{'decay_choice': 1, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",326.60(8.26),73.72(0.66),60.26(0.41),80.61(0.34),57.12(0.74),11.92(0.17)
"{'decay_choice': 1, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",352.40(2.07),71.65(0.17),57.63(0.59),79.69(0.42),56.22(0.36),12.07(0.19)
"{'decay_choice': 2, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",293.00(1.87),76.43(0.15),59.25(0.29),81.88(0.20),53.32(0.29),11.97(0.50)
"{'decay_choice': 2, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",291.00(2.24),76.59(0.18),60.64(0.26),82.53(0.16),53.05(0.19),12.07(0.13)
"{'decay_choice': 2, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",294.20(1.48),76.33(0.12),62.12(0.23),82.69(0.13),53.07(0.17),12.32(0.18)
"{'decay_choice': 2, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",295.80(4.15),76.20(0.33),62.64(0.08),82.82(0.06),55.84(0.28),11.99(0.40)
"{'decay_choice': 2, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",321.20(3.42),74.16(0.28),61.53(0.05),82.16(0.07),56.77(0.25),11.68(0.31)
"{'decay_choice': 3, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",291.40(0.89),76.56(0.07),59.59(0.30),81.89(0.22),52.36(0.31),12.07(0.15)
"{'decay_choice': 3, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",291.20(1.30),76.57(0.10),61.12(0.26),82.63(0.16),52.39(0.28),11.66(0.12)
"{'decay_choice': 3, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",294.40(2.07),76.32(0.17),62.55(0.19),83.07(0.12),52.82(0.24),11.92(0.30)
"{'decay_choice': 3, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",292.20(1.79),76.49(0.14),63.04(0.07),83.32(0.06),55.84(0.33),11.65(0.31)
"{'decay_choice': 3, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",320.40(2.61),74.22(0.21),61.42(0.10),81.99(0.09),56.70(0.27),11.92(0.20)
"{'decay_choice': 4, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",292.60(1.52),76.46(0.12),60.89(0.22),82.43(0.16),53.29(0.20),11.89(0.19)
"{'decay_choice': 4, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",289.40(1.34),76.72(0.11),62.03(0.19),82.86(0.14),54.20(0.19),11.39(0.10)
"{'decay_choice': 4, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",295.80(2.17),76.20(0.17),62.67(0.11),83.11(0.09),54.75(0.21),11.73(0.45)
"{'decay_choice': 4, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",304.80(2.77),75.48(0.22),62.58(0.08),83.06(0.09),55.36(0.33),12.02(0.18)
"{'decay_choice': 4, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",322.40(3.85),74.06(0.31),61.35(0.11),81.82(0.09),57.29(0.32),11.85(0.30)
