,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'decay_choice': 0, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",76.60(5.46),86.54(0.96),91.28(0.64),87.85(0.89),85.25(0.97),5.87(2.10)
"{'decay_choice': 0, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",76.40(5.41),86.57(0.95),91.24(0.62),87.76(0.91),85.22(1.00),7.45(3.11)
"{'decay_choice': 0, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",76.20(4.55),86.61(0.80),91.19(0.66),87.68(0.99),85.25(0.84),6.49(1.90)
"{'decay_choice': 0, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",75.00(2.00),86.82(0.35),91.19(0.55),87.57(0.89),85.55(0.30),6.13(0.65)
"{'decay_choice': 0, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",79.00(3.61),86.12(0.63),90.54(0.25),86.84(0.28),84.68(0.76),3.97(0.14)
"{'decay_choice': 1, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",73.60(2.51),87.07(0.44),93.39(0.21),89.77(0.33),86.09(0.44),3.90(0.00)
"{'decay_choice': 1, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",75.00(2.55),86.82(0.45),93.22(0.21),89.58(0.28),85.82(0.46),3.90(0.00)
"{'decay_choice': 1, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",75.40(2.51),86.75(0.44),93.03(0.27),89.42(0.28),85.74(0.51),3.91(0.00)
"{'decay_choice': 1, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",75.80(2.39),86.68(0.42),92.63(0.25),89.01(0.30),85.57(0.52),3.91(0.01)
"{'decay_choice': 1, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",77.40(3.13),86.40(0.55),91.66(0.32),88.10(0.19),85.02(0.58),3.90(0.00)
"{'decay_choice': 2, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",74.20(2.95),86.96(0.52),94.46(0.24),89.29(0.51),86.79(0.65),3.90(0.00)
"{'decay_choice': 2, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",70.80(3.63),87.56(0.64),94.66(0.20),89.58(0.50),87.27(0.68),3.90(0.00)
"{'decay_choice': 2, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",72.80(4.09),87.21(0.72),94.72(0.15),89.81(0.46),86.68(0.78),3.90(0.00)
"{'decay_choice': 2, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",70.40(5.13),87.63(0.90),94.66(0.23),90.36(0.31),86.71(0.82),3.89(0.01)
"{'decay_choice': 2, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",66.60(2.70),88.30(0.47),93.58(0.32),89.84(0.38),87.22(0.40),3.89(0.01)
"{'decay_choice': 3, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",68.80(3.77),87.91(0.66),94.89(0.21),89.93(0.44),87.70(0.69),3.90(0.01)
"{'decay_choice': 3, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",67.80(2.77),88.08(0.49),95.02(0.20),90.16(0.42),87.78(0.53),3.90(0.01)
"{'decay_choice': 3, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",70.40(4.04),87.63(0.71),95.02(0.16),90.36(0.37),87.09(0.71),3.90(0.01)
"{'decay_choice': 3, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",68.60(4.22),87.94(0.74),94.88(0.22),90.75(0.29),87.04(0.59),3.90(0.00)
"{'decay_choice': 3, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",65.20(2.28),88.54(0.40),93.65(0.29),89.95(0.32),87.40(0.35),5.27(1.00)
"{'decay_choice': 4, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",67.40(3.97),88.15(0.70),95.17(0.17),90.34(0.38),87.53(0.79),4.74(0.38)
"{'decay_choice': 4, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",67.80(4.32),88.08(0.76),95.11(0.18),90.44(0.31),87.25(0.77),4.86(0.66)
"{'decay_choice': 4, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",67.20(2.95),88.19(0.52),95.03(0.21),90.56(0.31),87.27(0.54),4.68(0.66)
"{'decay_choice': 4, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",67.20(2.77),88.19(0.49),94.77(0.22),90.59(0.30),87.20(0.50),3.89(0.01)
"{'decay_choice': 4, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",68.20(1.92),88.01(0.34),93.28(0.21),89.44(0.28),86.85(0.34),3.90(0.00)
