,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'decay_choice': 0, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",68.20(4.55),88.01(0.80),93.88(0.38),91.49(0.54),86.90(0.88),5.98(0.37)
"{'decay_choice': 0, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",68.00(4.42),88.05(0.78),93.85(0.40),91.46(0.55),86.93(0.85),7.15(0.07)
"{'decay_choice': 0, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",68.80(4.38),87.91(0.77),93.82(0.44),91.45(0.58),86.80(0.82),6.82(0.51)
"{'decay_choice': 0, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",69.40(3.91),87.80(0.69),93.73(0.51),91.30(0.56),86.68(0.76),5.67(0.20)
"{'decay_choice': 0, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",72.20(5.81),87.31(1.02),93.29(0.91),90.56(1.06),86.13(1.23),5.61(0.08)
"{'decay_choice': 1, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",71.80(3.49),87.38(0.61),93.77(0.25),90.56(0.30),86.15(0.82),7.22(0.12)
"{'decay_choice': 1, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",72.20(3.77),87.31(0.66),93.78(0.25),90.63(0.31),86.06(0.86),7.36(0.18)
"{'decay_choice': 1, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",70.80(5.07),87.56(0.89),93.80(0.25),90.77(0.26),86.23(1.11),7.86(0.47)
"{'decay_choice': 1, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",71.20(2.28),87.49(0.40),93.79(0.25),90.92(0.34),86.18(0.49),8.30(0.64)
"{'decay_choice': 1, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",71.60(4.28),87.42(0.75),93.61(0.30),91.19(0.35),86.08(0.85),8.21(0.64)
"{'decay_choice': 2, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",81.00(4.36),85.76(0.77),93.39(0.35),88.10(0.38),85.80(0.70),8.26(0.61)
"{'decay_choice': 2, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",74.20(3.27),86.96(0.57),93.81(0.30),88.61(0.36),86.89(0.70),7.14(1.44)
"{'decay_choice': 2, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",74.40(3.44),86.92(0.60),93.98(0.25),88.81(0.31),86.71(0.63),8.46(1.18)
"{'decay_choice': 2, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",72.20(3.27),87.31(0.57),93.72(0.23),88.76(0.30),86.59(0.59),7.90(0.70)
"{'decay_choice': 2, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",74.00(2.92),86.99(0.51),93.55(0.28),89.46(0.37),85.80(0.67),7.60(0.07)
"{'decay_choice': 3, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",78.20(2.39),86.26(0.42),93.84(0.28),88.55(0.32),86.33(0.46),7.62(0.11)
"{'decay_choice': 3, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",72.20(1.92),87.31(0.34),94.20(0.24),88.98(0.28),87.24(0.46),7.62(0.05)
"{'decay_choice': 3, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",72.80(3.70),87.21(0.65),94.30(0.21),89.15(0.25),87.01(0.65),7.67(0.07)
"{'decay_choice': 3, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",68.60(2.07),87.94(0.36),93.97(0.21),89.10(0.26),87.29(0.37),7.66(0.07)
"{'decay_choice': 3, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",72.20(1.48),87.31(0.26),93.73(0.22),89.70(0.32),86.13(0.31),7.64(0.08)
"{'decay_choice': 4, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",68.40(2.88),87.98(0.51),94.70(0.16),89.60(0.19),87.95(0.58),7.62(0.05)
"{'decay_choice': 4, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",69.00(3.67),87.87(0.65),94.54(0.14),89.40(0.17),87.60(0.64),7.67(0.06)
"{'decay_choice': 4, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",69.40(2.79),87.80(0.49),94.25(0.15),89.19(0.18),87.29(0.54),7.42(0.73)
"{'decay_choice': 4, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",70.00(1.22),87.70(0.22),94.08(0.17),89.47(0.22),86.81(0.21),6.31(0.35)
"{'decay_choice': 4, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",70.00(3.87),87.70(0.68),93.90(0.21),89.95(0.27),86.35(0.76),7.80(0.22)
