,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'decay_choice': 0, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",67.80(1.92),65.76(0.97),52.20(2.37),25.16(1.02),49.85(0.78),1.93(0.10)
"{'decay_choice': 0, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",68.20(2.39),65.56(1.21),52.04(2.41),25.04(0.98),49.57(1.17),1.88(0.01)
"{'decay_choice': 0, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",68.40(3.21),65.45(1.62),52.00(2.50),24.97(0.89),49.22(1.75),1.87(0.00)
"{'decay_choice': 0, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",68.00(2.92),65.66(1.47),51.99(2.51),24.91(0.84),49.49(1.56),1.90(0.07)
"{'decay_choice': 0, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",68.40(4.67),65.45(2.36),50.98(1.77),24.70(1.18),49.36(2.48),1.87(0.01)
"{'decay_choice': 1, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",66.00(2.00),66.67(1.01),52.03(2.06),24.00(0.99),50.16(1.14),1.87(0.01)
"{'decay_choice': 1, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",66.40(2.30),66.46(1.16),51.95(1.92),23.96(0.90),49.73(1.49),1.87(0.00)
"{'decay_choice': 1, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",66.00(2.00),66.67(1.01),51.76(1.87),23.90(0.85),50.01(1.21),1.90(0.08)
"{'decay_choice': 1, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",65.40(2.07),66.97(1.05),51.36(1.60),23.69(0.70),50.50(1.32),1.88(0.01)
"{'decay_choice': 1, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",66.00(1.87),66.67(0.94),50.84(1.53),23.60(0.74),50.16(1.29),1.87(0.01)
"{'decay_choice': 2, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",64.80(3.03),67.27(1.53),51.49(0.65),23.96(0.21),50.41(1.17),1.87(0.01)
"{'decay_choice': 2, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",62.80(2.17),68.28(1.09),51.48(0.61),23.98(0.23),50.92(1.02),1.91(0.08)
"{'decay_choice': 2, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",61.60(2.07),68.89(1.05),51.37(0.72),24.03(0.32),51.32(1.04),2.11(0.13)
"{'decay_choice': 2, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",61.80(3.35),68.79(1.69),51.03(1.10),23.98(0.54),50.81(2.00),2.26(0.17)
"{'decay_choice': 2, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",61.60(1.82),68.89(0.92),50.04(1.49),23.37(0.65),50.15(1.55),2.16(0.08)
"{'decay_choice': 3, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",60.20(2.17),69.60(1.09),50.54(0.87),23.72(0.34),51.05(1.60),2.12(0.01)
"{'decay_choice': 3, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",60.60(1.14),69.39(0.58),50.29(0.91),23.66(0.34),50.48(0.67),2.16(0.04)
"{'decay_choice': 3, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",60.40(1.14),69.49(0.58),50.11(1.11),23.60(0.46),50.40(0.92),2.16(0.03)
"{'decay_choice': 3, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",61.00(1.87),69.19(0.94),49.47(1.28),23.35(0.52),49.61(0.86),2.19(0.04)
"{'decay_choice': 3, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",61.40(1.95),68.99(0.98),48.99(1.13),22.73(0.44),49.19(1.30),2.18(0.03)
"{'decay_choice': 4, 'contribute_error_rate': 0.001, 'decay_coef_change': False, 'batch_size_denominator': [20]}",61.40(2.70),68.99(1.36),49.78(1.10),23.21(0.41),48.60(1.94),2.13(0.02)
"{'decay_choice': 4, 'contribute_error_rate': 0.005, 'decay_coef_change': False, 'batch_size_denominator': [20]}",61.40(2.30),68.99(1.16),49.69(1.11),23.16(0.45),48.60(1.63),2.18(0.07)
"{'decay_choice': 4, 'contribute_error_rate': 0.01, 'decay_coef_change': False, 'batch_size_denominator': [20]}",61.40(2.41),68.99(1.22),49.60(1.08),23.02(0.45),48.46(1.74),2.61(0.08)
"{'decay_choice': 4, 'contribute_error_rate': 0.02, 'decay_coef_change': False, 'batch_size_denominator': [20]}",61.60(2.79),68.89(1.41),49.49(0.95),22.92(0.46),48.24(1.85),2.11(0.02)
"{'decay_choice': 4, 'contribute_error_rate': 0.05, 'decay_coef_change': False, 'batch_size_denominator': [20]}",62.00(2.35),68.69(1.18),48.80(0.64),22.48(0.32),48.55(1.57),2.53(0.23)
